protocolo;numero_licitacao;modalidade;cd_ugestora;valor_licitado;ano_homologacao;cnpj_proponente;valor_proposta;situacao_proposta
Doc. 00610/20;00001/2020;Pregao Presencial;601132;23280000;2020;3,10872E+13;2317973;1
Doc. 00612/19;00020/2018;Pregao Presencial;601044;1270345294;2019;1,72673E+13;16920000;1
Doc. 00614/20;00001/2020;Pregao Presencial;201082;22800000;2020;2,2144E+13;5352000;1
Doc. 00618/19;00001/2019;Pregao Presencial;201014;7383800;2019;5,01536E+12;17009120;1
Doc. 00618/19;00001/2019;Pregao Presencial;201014;1440000;2019;5,61394E+12;46992950;1
Doc. 00618/19;00001/2019;Pregao Presencial;201014;6015800;2019;1,18201E+13;21526000;1
Doc. 00618/19;00001/2019;Pregao Presencial;201014;58995640;2019;1,43792E+13;23583000;0
Doc. 00618/19;00001/2019;Pregao Presencial;201014;6015800;2019;1,64176E+13;40464420;1
Doc. 00618/19;00001/2019;Pregao Presencial;201014;58995640;2019;1,94649E+13;46850050;0
Doc. 00618/19;00001/2019;Pregao Presencial;201014;7383800;2019;1,95942E+13;8767500;0
Doc. 00618/19;00001/2019;Pregao Presencial;201014;4505000;2019;1,98948E+13;18607900;0
Doc. 00618/19;00001/2019;Pregao Presencial;201014;7383800;2019;2,11879E+13;30313670;0
Doc. 00618/19;00001/2019;Pregao Presencial;201014;58995640;2019;2,40597E+13;23133840;0
Doc. 00618/19;00001/2019;Pregao Presencial;201014;4505000;2019;2,4115E+13;38798400;0
Doc. 00618/19;00001/2019;Pregao Presencial;201014;4505000;2019;2,41276E+13;49086500;0
Doc. 00618/19;00001/2019;Pregao Presencial;201014;1440000;2019;2,44839E+13;39406610;1
Doc. 00618/19;00001/2019;Pregao Presencial;201014;7383800;2019;2,95528E+13;45369150;0
Doc. 00618/19;00001/2019;Pregao Presencial;201014;7383800;2019;3,05976E+13;43655000;1
Doc. 00619/19;00001/2019;Pregao Presencial;201072;6015800;2019;5,79799E+12;20906700;1
Doc. 00623/19;00002/2019;Pregao Presencial;201014;1000000;2019;5,01536E+12;10150810;1
Doc. 00623/19;00002/2019;Pregao Presencial;201014;800000;2019;5,45703E+12;17453193;1
Doc. 00623/19;00002/2019;Pregao Presencial;201014;800000;2019;2,22654E+13;10110400;1
Doc. 00623/19;00002/2019;Pregao Presencial;201014;4095000;2019;2,25264E+13;24100760;1
Doc. 00625/19;00003/2019;Pregao Presencial;601014;742600;2019;1,68681E+12;13082376;0
Doc. 00625/19;00003/2019;Pregao Presencial;601014;742600;2019;4,94949E+12;29357530;0
Doc. 00625/19;00003/2019;Pregao Presencial;601014;18050000;2019;5,01536E+12;13226842;1
Doc. 00625/19;00003/2019;Pregao Presencial;601014;742600;2019;7,32407E+12;8973614;1
Doc. 00625/19;00003/2019;Pregao Presencial;601014;742600;2019;1,64176E+13;11802494;1
Doc. 00625/19;00003/2019;Pregao Presencial;601014;742600;2019;2,44839E+13;10846463;0
Doc. 00625/19;00003/2019;Pregao Presencial;601014;2650000;2019;2,68724E+13;10282422;0
Doc. 00625/19;00003/2019;Pregao Presencial;601014;742600;2019;2,93986E+13;10159491;1
Doc. 00636/19;00006/2019;Pregao Presencial;201014;56759300;2019;1,08722E+13;9000000;0
Doc. 00638/20;04001/2020;Pregao Eletronico;201095;14232000;2020;33757000181;14994000;1
Doc. 00639/19;00007/2019;Pregao Presencial;201014;2200000;2019;1,88628E+13;14250000;0
Doc. 00639/19;00007/2019;Pregao Presencial;201014;1900000;2019;2,52427E+13;10800000;0
Doc. 00639/19;00007/2019;Pregao Presencial;201014;1440000;2019;3,22353E+13;13700000;1
Doc. 00643/19;00008/2019;Pregao Presencial;601014;3465000;2019;5,32914E+12;12600000;1
Doc. 00643/19;00008/2019;Pregao Presencial;601014;2420000;2019;1,67378E+13;12400000;0
Doc. 00645/19;00009/2019;Pregao Presencial;201014;45695390;2019;7,86524E+12;28121000;1
Doc. 00645/19;00009/2019;Pregao Presencial;201014;45695390;2019;1,3259E+13;29618000;1
Doc. 00645/19;00009/2019;Pregao Presencial;201014;45695390;2019;1,34406E+13;32372200;1
Doc. 00645/19;00009/2019;Pregao Presencial;201014;16421394;2019;3,5422E+13;30914240;1
Doc. 00653/20;00003/2020;Pregao Presencial;201132;16000000;2020;1,86584E+13;1998050;1
